未来喫茶 — イベラン診断用ボーダーデータ（イベント名 × ボーダー）
========================================================================
出典: 参考データ/【完全版】プロセカボーダーランキング のコピー
生成元: js/border-rankings-data.js


========================================================================
■ TOP10（188件）
========================================================================

 No.  イベント名                                               ボーダーPt  表示              バナー     ユニット      種別      
  83  悪夢の庭を歌い明かして                                     88,149,755  約8814万P         絵名      混合        マラソン    
  84  仰ぐ夜空に、星は紛れて                                     88,110,509  約8811万P         咲希      レオニ       マラソン    
  85  Get over it.                                    88,000,509  約8800万P         咲希      レオニ       マラソン    
  86  Re-tie Friendship                               87,778,817  約8777万P         愛莉      モモジャン     マラソン    
  87  新年言祝ぐ、祈りの舞                                      87,310,414  約8731万P         みのり     混合        マラソン    
  88  キャンドルの香りは思い出と共に                                 86,326,113  約8632万P         一歌      混合        チアフル    
  89  白熱!神高応援団!                                       85,858,423  約8585万P         類       混合        マラソン    
  90  鳴らせビューティフルサウンド！                                 85,819,525  約8581万P         冬弥      混合        マラソン    
  91  Little Bravers!                                 85,571,069  約8557万P         穂波      レオニ       マラソン    
  92  Cheer with my Heart！                            85,090,314  約8509万P         愛莉      モモジャン     マラソン    
  93  いつか、絶望の底から                                      83,908,210  約8390万P         奏       ニーゴ       マラソン    
  94  Stay solid,No fold                              83,451,302  約8345万P         こはね     ビビバス      マラソン    
  95  Rise and Strive                                 83,001,005  約8300万P         遥       モモジャン     マラソン    
  96  Echo my melody                                  83,000,108  約8300万P         一歌      レオニ       マラソン    
  97  ほどけぬ明日に手を伸ばして                                   82,700,000  約8270万P         瑞希      ニーゴ       マラソン    
  98  Open up new horizons！                           82,333,319  約8233万P         愛莉      モモジャン     マラソン    
  99  On Your Feet                                    81,843,681  約8184万P         こはね     ビビバス      マラソン    
 100  そして、針は動き出す                                      81,436,885  約8143万P         まふゆ     ニーゴ       マラソン    
 101  青空に願うユア・ハピネス!                                   81,190,726  約8119万P         杏       混合        チアフル    
